date	2018	2019	2020
2020-06-17	3015338	3114003	3680361
2020-06-18	3209271	2899469	3674771
2020-06-19	2874094	2750021	3661019
2020-06-20	2916922	3173480	3328600
2020-06-21	2572079	2752223	3504254
2020-06-22	2431867	2599583	3161030
2020-06-23	2478480	2792891	2909380
2020-06-24	3008077	2907279	3344906
2020-06-25	2864691	2608945	2878423
2020-06-26	2709870	2577147	2846763
2020-06-27	2613563	2560478	2580417
2020-06-28	2770758	2274077	2927785
2020-06-29	2549093	2350035	2877250
2020-06-30	2476319	2500595	2881432
2020-07-01	2691240	2337155	2737872
2020-07-02	2362577	2539453	3013397
2020-07-03	2576466	2572772	2734341
2020-07-04	2629102	2844069	2700125
2020-07-05	2666618	2482270	2906414
2020-07-06	2531659	2625771	3022537
2020-07-07	2402563	2624828	2991537
2020-07-08	2630167	2634115	2918526
2020-07-09	2865633	2812468	3167865
2020-07-10	2799418	2612612	3098955
2020-07-11	2529844	2450838	3168092
2020-07-12	2348142	2611672	3323597
2020-07-13	2468306	2909047	3195507
2020-07-14	2325270	2922805	3127761
2020-07-15	2710040	2519838	3158357
2020-07-16	3124219	2479201	3126116
2020-07-17	3036598	2569459	3206972
2020-07-18	2775128	2574157	3102672
2020-07-19	2770610	2565517	3194901
2020-07-20	2533932	2675887	3038700
2020-07-21	2200839	2821554	3182628
2020-07-22	2509454	2639640	2613150
2020-07-23	2475994	2463350	2588274
2020-07-24	2232833	2424884	2565115
2020-07-25	2497644	2444933	2690327
2020-07-26	2796525	2304309	3007733
2020-07-27	2423359	2540714	2784872
2020-07-28	2266863	2651182	2800960
2020-07-29	2375444	2677987	2524539
2020-07-30	2631407	2678972	2453084
2020-07-31	2560002	2653890	2457507
2020-08-01	3162613	2581489	2563349
2020-08-02	3011903	2439824	2705258
2020-08-03	2642725	2464340	2872271
2020-08-04	2728498	2529766	2776161
2020-08-05	2576786	2600905	2762079
2020-08-06	2702564	2726537	2530904
2020-08-07	2586901	2453286	2487314
2020-08-08	2701446	2437172	2377973
2020-08-09	2472292	2430847	2628450
2020-08-10	2475708	2575827	2669510
