date	unique_editors
2020-01-02	513
2020-01-03	525
2020-01-04	475
2020-01-05	501
2020-01-06	586
2020-01-07	602
2020-01-08	564
2020-01-09	580
2020-01-10	490
2020-01-11	506
2020-01-12	540
2020-01-13	625
2020-01-14	590
2020-01-15	579
2020-01-16	566
2020-01-17	542
2020-01-18	477
2020-01-19	535
2020-01-20	684
2020-01-21	624
2020-01-22	600
2020-01-23	579
2020-01-24	542
2020-01-25	465
2020-01-26	420
2020-01-27	568
2020-01-28	565
2020-01-29	569
2020-01-30	551
2020-01-31	501
2020-02-01	462
2020-02-02	522
2020-02-03	594
2020-02-04	584
2020-02-05	556
2020-02-06	582
2020-02-07	512
2020-02-08	434
2020-02-09	466
2020-02-10	541
2020-02-11	544
2020-02-12	554
2020-02-13	596
2020-02-14	519
2020-02-15	476
2020-02-16	518
2020-02-17	565
2020-02-18	559
2020-02-19	569
2020-02-20	535
2020-02-21	516
2020-02-22	459
2020-02-23	488
2020-02-24	569
2020-02-25	569
2020-02-26	578
2020-02-27	508
2020-02-28	507
2020-02-29	438
2020-03-01	472
2020-03-02	569
2020-03-03	609
2020-03-04	610
2020-03-05	550
2020-03-06	542
2020-03-07	444
2020-03-08	504
2020-03-09	610
2020-03-10	479
2020-03-11	509
2020-03-12	515
2020-03-13	525
2020-03-14	455
2020-03-15	482
2020-03-16	531
2020-03-17	598
2020-03-18	558
2020-03-19	587
2020-03-20	571
2020-03-21	575
2020-03-22	571
2020-03-23	632
2020-03-24	637
2020-03-25	687
2020-03-26	690
2020-03-27	617
2020-03-28	553
2020-03-29	579
2020-03-30	632
2020-03-31	689
2020-04-01	600
2020-04-02	609
2020-04-03	617
2020-04-04	510
2020-04-05	531
2020-04-06	593
2020-04-07	660
2020-04-08	607
2020-04-09	534
2020-04-10	454
2020-04-11	492
2020-04-12	482
2020-04-13	556
2020-04-14	628
2020-04-15	623
2020-04-16	614
2020-04-17	588
2020-04-18	454
2020-04-19	526
2020-04-20	633
2020-04-21	657
2020-04-22	614
2020-04-23	560
2020-04-24	548
2020-04-25	486
2020-04-26	488
2020-04-27	636
2020-04-28	611
2020-04-29	654
2020-04-30	571
2020-05-01	481
2020-05-02	490
2020-05-03	571
2020-05-04	581
2020-05-05	632
2020-05-06	642
2020-05-07	547
2020-05-08	477
2020-05-09	441
