date	views
2016-01-01	2658486
2016-01-02	3188437
2016-01-03	3243298
2016-01-04	3440416
2016-01-05	4046238
2016-01-06	3742249
2016-01-07	3792645
2016-01-08	3234520
2016-01-09	3161891
2016-01-10	3659301
2016-01-11	3698834
2016-01-12	3701751
2016-01-13	3546367
2016-01-14	3567884
2016-01-15	3061452
2016-01-16	2967644
2016-01-17	3467820
2016-01-18	3607893
2016-01-19	3504141
2016-01-20	3457671
2016-01-21	3620616
2016-01-22	3118961
2016-01-23	3010567
2016-01-24	3573056
2016-01-25	3949586
2016-01-26	3585441
2016-01-27	3200468
2016-01-28	3141260
2016-01-29	2884498
2016-01-30	2747239
2016-01-31	3417997
2016-02-01	3384993
2016-02-02	3365042
2016-02-03	3200460
2016-02-04	3123679
2016-02-05	2901008
2016-02-06	2955021
2016-02-07	3095993
2016-02-08	3244351
2016-02-09	3114651
2016-02-10	3424201
2016-02-11	3238703
2016-02-12	3052184
2016-02-13	2979607
2016-02-14	3124482
2016-02-15	3210340
2016-02-16	3136438
2016-02-17	3418094
2016-02-18	3775114
2016-02-19	3640150
2016-02-20	2950952
2016-02-21	3586675
2016-02-22	3199013
2016-02-23	4004223
2016-02-24	3520321
2016-02-25	3496995
2016-02-26	2961847
2016-02-27	2996989
2016-02-28	3479181
2016-02-29	3813372
2016-03-01	3529671
2016-03-02	3237750
2016-03-03	2966072
2016-03-04	3283316
2016-03-05	3573427
2016-03-06	3216846
2016-03-07	3058935
2016-03-08	3533565
2016-03-09	3327909
2016-03-10	3116494
2016-03-11	2516039
2016-03-12	2868981
2016-03-13	3271762
2016-03-14	3256722
2016-03-15	3140005
2016-03-16	3221452
2016-03-17	3119040
2016-03-18	2822137
2016-03-19	3191497
2016-03-20	3309841
2016-03-21	3196245
2016-03-22	3121536
2016-03-23	3023820
2016-03-24	2762937
2016-03-25	2732077
2016-03-26	2695880
2016-03-27	2721697
2016-03-28	3120826
2016-03-29	3237920
2016-03-30	3425907
2016-03-31	3198639
2016-04-01	3050552
2016-04-02	2643605
2016-04-03	2803528
2016-04-04	3118832
2016-04-05	3314619
2016-04-06	3472447
2016-04-07	3208845
2016-04-08	3024767
2016-04-09	3252608
2016-04-10	3537199
2016-04-11	3540230
2016-04-12	3252359
2016-04-13	3165758
2016-04-14	3219659
2016-04-15	2918790
2016-04-16	2897079
2016-04-17	3049980
2016-04-18	3333711
2016-04-19	3743441
2016-04-20	3342800
2016-04-21	3011612
2016-04-22	2744579
2016-04-23	2953549
2016-04-24	3224227
2016-04-25	3410617
2016-04-26	3368865
2016-04-27	3442135
2016-04-28	3091850
2016-04-29	2686638
2016-04-30	2461259
2016-05-01	2899230
2016-05-02	3245503
2016-05-03	3230890
2016-05-04	3243297
2016-05-05	3092627
2016-05-06	2797160
2016-05-07	2609267
2016-05-08	3056476
2016-05-09	3340417
2016-05-10	3575695
2016-05-11	3559673
2016-05-12	3473046
2016-05-13	3145676
2016-05-14	2986902
2016-05-15	3637626
2016-05-16	3729023
2016-05-17	3652476
2016-05-18	3754070
2016-05-19	3145284
2016-05-20	2835143
2016-05-21	2396717
2016-05-22	3022895
2016-05-23	3251781
2016-05-24	3457352
2016-05-25	3423291
2016-05-26	3140159
2016-05-27	2722200
2016-05-28	2609034
2016-05-29	3073081
2016-05-30	3197375
2016-05-31	3286007
2016-06-01	3258256
2016-06-02	3322262
2016-06-03	3066230
2016-06-04	2654580
2016-06-05	3130899
2016-06-06	3344896
2016-06-07	3102321
2016-06-08	3242966
2016-06-09	3141713
2016-06-10	2799177
2016-06-11	2551367
2016-06-12	3103159
2016-06-13	3542815
2016-06-14	3571133
2016-06-15	3690455
2016-06-16	3117878
2016-06-17	2558936
2016-06-18	2175292
2016-06-19	2909072
2016-06-20	2904606
2016-06-21	2869144
2016-06-22	2548706
2016-06-23	2384982
2016-06-24	2352776
2016-06-25	2105477
2016-06-26	2358103
2016-06-27	2553505
2016-06-28	2509504
2016-06-29	2401757
2016-06-30	2479790
2016-07-01	2186909
2016-07-02	2111385
2016-07-03	2247733
2016-07-04	2273170
2016-07-05	2289189
2016-07-06	2380447
2016-07-07	2352795
2016-07-08	2152615
2016-07-09	2175077
2016-07-10	2319851
2016-07-11	2257966
2016-07-12	2397074
2016-07-13	2400259
2016-07-14	2478251
2016-07-15	2230161
2016-07-16	2065816
2016-07-17	2534202
2016-07-18	2711460
2016-07-19	2379686
2016-07-20	2329100
2016-07-21	3311753
2016-07-22	8893885
2016-07-23	5234834
2016-07-24	4075393
2016-07-25	6100764
2016-07-26	6170245
2016-07-27	9752114
2016-07-28	8073622
2016-07-29	2396407
2016-07-30	2141890
2016-07-31	2524414
2016-08-01	2546524
2016-08-02	2473685
2016-08-03	2591451
2016-08-04	2420505
2016-08-05	2546037
2016-08-06	2135324
2016-08-07	2317242
2016-08-08	2450590
2016-08-09	2424519
2016-08-10	2760875
2016-08-11	2489905
2016-08-12	2447937
2016-08-13	2350960
2016-08-14	2355483
2016-08-15	2501852
2016-08-16	2280935
2016-08-17	2271918
2016-08-18	2200756
2016-08-19	2189685
2016-08-20	2131817
2016-08-21	2603901
2016-08-22	2552222
2016-08-23	2520249
2016-08-24	2667531
2016-08-25	2478587
