month	page_title	views_2020	views_2019	views_difference
7	Kateřina II. Veliká	100535	2117	98418
7	Pandemie covidu-19 v Chorvatsku	33257	0	33257
7	Mistrovství Evropy ve fotbale 2004	34233	1681	32552
7	Miloš Jakeš	39798	9926	29872
7	Jiří Procházka (sportovec)	28264	1267	26997
7	Ludvík XIV.	29809	3448	26361
7	Petr III. Ruský	26858	696	26162
7	Dýmějový mor	27269	1668	25601
7	Jan Skopeček	26324	2498	23826
7	Mistrovství Evropy ve fotbale 2000	24165	491	23674
7	Čeština	28269	5652	22617
7	Ennio Morricone	22912	946	21966
7	Pandemie covidu-19 v Česku	18755	0	18755
7	Covid-19	17363	0	17363
7	Milan Baroš	19794	3708	16086
7	Dana Medřická	17995	2306	15689
7	Naya Rivera	15733	153	15580
7	Václav Havel	24870	9438	15432
7	Black Lives Matter	14922	153	14769
7	Tereza Ramba	14681	8	14673
