date	views
2017-01-01	2285584
2017-01-02	2831320
2017-01-03	2807273
2017-01-04	2863276
2017-01-05	3258482
2017-01-06	2452135
2017-01-07	2826476
2017-01-08	3143682
2017-01-09	2964690
2017-01-10	2886288
2017-01-11	2738534
2017-01-12	2752580
2017-01-13	2391407
2017-01-14	2374010
2017-01-15	3069705
2017-01-16	2950919
2017-01-17	2886652
2017-01-18	2796367
2017-01-19	2667049
2017-01-20	2447076
2017-01-21	2290417
2017-01-22	2883400
2017-01-23	2822043
2017-01-24	2826964
2017-01-25	2635857
2017-01-26	2527820
2017-01-27	2283793
2017-01-28	2282330
2017-01-29	2857955
2017-01-30	2630430
2017-01-31	2519334
2017-02-01	2421918
2017-02-02	2279856
2017-02-03	2110681
2017-02-04	2210535
2017-02-05	2743471
2017-02-06	2705689
2017-02-07	2626684
2017-02-08	2643757
2017-02-09	2544801
2017-02-10	2237342
2017-02-11	2236520
2017-02-12	2775875
2017-02-13	2590263
2017-02-14	2518608
2017-02-15	2469649
2017-02-16	2442510
2017-02-17	2257873
2017-02-18	2292857
2017-02-19	2684741
2017-02-20	2661016
2017-02-21	2564656
2017-02-22	2706851
2017-02-23	2415209
2017-02-24	2186179
2017-02-25	2087933
2017-02-26	2704666
2017-02-27	2428735
2017-02-28	2491232
2017-03-01	2514800
2017-03-02	2615336
2017-03-03	2139518
2017-03-04	1952683
2017-03-05	2585898
2017-03-06	2531000
2017-03-07	2533189
2017-03-08	2418303
2017-03-09	2320573
2017-03-10	2134639
2017-03-11	2008046
2017-03-12	2463354
2017-03-13	2367463
2017-03-14	2341619
2017-03-15	2327758
2017-03-16	2202377
2017-03-17	2002097
2017-03-18	2141816
2017-03-19	2654261
2017-03-20	2534213
2017-03-21	2538027
2017-03-22	2576507
2017-03-23	2422563
2017-03-24	2180416
2017-03-25	2121800
2017-03-26	2532417
2017-03-27	2524511
2017-03-28	2337662
2017-03-29	2385329
2017-03-30	2385563
2017-03-31	2055130
2017-04-01	1733687
2017-04-02	2163590
2017-04-03	2412370
2017-04-04	2427768
2017-04-05	2413819
2017-04-06	2389069
2017-04-07	2132020
2017-04-08	1959205
2017-04-09	2344730
2017-04-10	2275277
2017-04-11	2335159
2017-04-12	2053951
2017-04-13	1912488
2017-04-14	1964702
2017-04-15	2005907
2017-04-16	2191833
2017-04-17	2529258
2017-04-18	2681081
2017-04-19	2529751
2017-04-20	2431808
2017-04-21	2101325
2017-04-22	2165967
2017-04-23	2721982
2017-04-24	2480330
2017-04-25	2522127
2017-04-26	2616206
2017-04-27	2444228
2017-04-28	2192679
2017-04-29	2015948
2017-04-30	2118403
2017-05-01	2452302
2017-05-02	2603264
2017-05-03	2512596
2017-05-04	2447488
2017-05-05	2173176
2017-05-06	2183933
2017-05-07	2649510
2017-05-08	3025806
2017-05-09	2801002
2017-05-10	2581216
2017-05-11	2403522
2017-05-12	2232566
2017-05-13	2063978
2017-05-14	2622188
2017-05-15	2635174
2017-05-16	2531024
2017-05-17	2499296
2017-05-18	2360143
2017-05-19	2039330
2017-05-20	2145391
2017-05-21	2588367
2017-05-22	2651054
2017-05-23	2588630
2017-05-24	2576935
2017-05-25	2643459
2017-05-26	1998476
2017-05-27	1767586
2017-05-28	2380678
2017-05-29	2545125
2017-05-30	2544788
2017-05-31	2389770
2017-06-01	2190436
2017-06-02	1929609
2017-06-03	1716321
2017-06-04	2504348
2017-06-05	2506482
2017-06-06	2502402
2017-06-07	2470405
2017-06-08	2283621
2017-06-09	1894763
2017-06-10	1839757
2017-06-11	2156202
2017-06-12	2498219
2017-06-13	2365203
2017-06-14	2772955
2017-06-15	2106316
2017-06-16	1912544
2017-06-17	1749599
2017-06-18	2133545
2017-06-19	2074744
2017-06-20	2020883
2017-06-21	2009656
2017-06-22	1791127
2017-06-23	1627344
2017-06-24	1518819
2017-06-25	1763560
2017-06-26	1813792
2017-06-27	1806694
2017-06-28	1755871
2017-06-29	1661011
2017-06-30	1519152
2017-07-01	1455895
2017-07-02	1728648
2017-07-03	1622860
2017-07-04	1620287
2017-07-05	1608949
2017-07-06	1675632
2017-07-07	1625009
2017-07-08	1531511
2017-07-09	1691241
2017-07-10	1708000
2017-07-11	1814032
2017-07-12	1764873
2017-07-13	1631250
2017-07-14	1596594
2017-07-15	1579092
2017-07-16	1662645
2017-07-17	1675397
2017-07-18	1613566
2017-07-19	1599257
2017-07-20	1673934
2017-07-21	1649296
2017-07-22	1533850
2017-07-23	1822809
2017-07-24	1863019
2017-07-25	1765903
2017-07-26	1773354
2017-07-27	1738746
2017-07-28	1602900
2017-07-29	1430890
2017-07-30	1548897
2017-07-31	1598093
2017-08-01	1591552
2017-08-02	1652208
2017-08-03	1661543
2017-08-04	1623468
2017-08-05	1476350
2017-08-06	1777871
2017-08-07	1714096
2017-08-08	1699757
2017-08-09	1749788
2017-08-10	1660563
2017-08-11	1727264
2017-08-12	1651620
2017-08-13	1713188
2017-08-14	1702517
2017-08-15	1673827
2017-08-16	1795745
2017-08-17	1626009
2017-08-18	1562764
2017-08-19	1651607
2017-08-20	1818135
2017-08-21	1784057
2017-08-22	1731304
2017-08-23	1689787
2017-08-24	1623871
2017-08-25	1611670
2017-08-26	1503921
2017-08-27	1709923
2017-08-28	1787022
2017-08-29	1746083
2017-08-30	1631664
2017-08-31	1660330
2017-09-01	1757585
2017-09-02	1715450
2017-09-03	1841575
2017-09-04	1682786
2017-09-05	1740437
2017-09-06	1839310
2017-09-07	1861657
2017-09-08	1723596
2017-09-09	1667165
2017-09-10	2048638
2017-09-11	2078172
2017-09-12	2101411
2017-09-13	1987224
2017-09-14	2065235
2017-09-15	1778138
2017-09-16	1869899
2017-09-17	2118549
2017-09-18	2123813
2017-09-19	2287799
2017-09-20	2151976
2017-09-21	2088181
2017-09-22	1857162
2017-09-23	2032912
2017-09-24	2302246
2017-09-25	2273104
