date	2017	2018	2019	2020
2020-08-01	68	52	56	45
2020-08-02	52	50	57	49
2020-08-03	51	55	56	64
2020-08-04	50	41	63	65
2020-08-05	38	47	56	59
2020-08-06	57	59	53	59
2020-08-07	54	48	42	57
2020-08-08	47	48	55	46
2020-08-09	52	35	51	56
2020-08-10	57	43	47	55
2020-08-11	61	37	50	47
2020-08-12	52	39	60	55
2020-08-13	47	48	56	29
2020-08-14	54	56	52	50
2020-08-15	55	50	52	43
2020-08-16	55	46	52	49
2020-08-17	57	51	50	44
2020-08-18	45	37	46	56
2020-08-19	50	50	60	59
2020-08-20	53	41	58	51
2020-08-21	69	53	53	66
2020-08-22	70	46	56	53
2020-08-23	45	43	63	52
2020-08-24	60	68	45	53
2020-08-25	50	48	48	53
2020-08-26	60	40	68	62
2020-08-27	53	67	63	52
2020-08-28	63	46	58	50
2020-08-29	58	66	65	46
2020-08-30	55	65	73	63
2020-08-31	47	58	60	68
2020-09-01	51	61	53	61
2020-09-02	53	57	65	60
2020-09-03	61	48	58	55
2020-09-04	61	47	62	49
2020-09-05	47	58	57	55
2020-09-06	66	58	50	56
2020-09-07	50	61	58	53
2020-09-08	59	57	63	63
2020-09-09	57	45	62	48
2020-09-10	74	51	57	45
2020-09-11	57	56	56	63
2020-09-12	48	52	65	50
2020-09-13	47	42	50	47
2020-09-14	54	41	50	61
2020-09-15	50	44	51	57
2020-09-16	53	46	66	60
2020-09-17	63	46	48	55
2020-09-18	49	57	54	51
2020-09-19	54	41	66	51
2020-09-20	63	55	70	55
2020-09-21	63	59	60	51
2020-09-22	41	45	62	56
2020-09-23	56	52	72	72
2020-09-24	51	56	63	67
2020-09-25	58	45	60	65
2020-09-26	53	53	69	68
2020-09-27	55	53	67	56
2020-09-28	55	28	50	65
2020-09-29	54	37	69	66
2020-09-30	50	50	66	68
2020-10-01	55	52	63	57
2020-10-02	70	60	74	49
2020-10-03	56	69	65	52
2020-10-04	62	48	59	57
2020-10-05	67	47	59	71
2020-10-06	65	38	60	70
2020-10-07	55	39	79	66
2020-10-08	54	51	68	50
2020-10-09	55	54	74	61
2020-10-10	75	55	71	47
2020-10-11	67	56	60	57
2020-10-12	57	53	45	64
2020-10-13	58	52	61	61
2020-10-14	59	41	66	74
2020-10-15	61	59	66	57
2020-10-16	54	56	71	64
2020-10-17	56	62	54	59
2020-10-18	69	52	62	67
2020-10-19	79	57	56	77
2020-10-20	50	40	56	66
2020-10-21	55	51	76	60
2020-10-22	66	77	77	61
2020-10-23	64	60	61	70
2020-10-24	54	57	62	58
2020-10-25	58	51	64	71
2020-10-26	54	60	52	74
2020-10-27	58	43	47	82
2020-10-28	55	49	59	71
2020-10-29	66	68	45	69
2020-10-30	62	55	59	70
2020-10-31	56	62	80	54
2020-11-01	72	52	60	81
2020-11-02	60	51	70	101
2020-11-03	50	66	60	64
2020-11-04	63	61	70	84
2020-11-05	52	56	60	65
2020-11-06	61	56	79	62
2020-11-07	58	62	65	62
2020-11-08	65	61	66	68
2020-11-09	56	59	51	73
2020-11-10	60	54	55	77
2020-11-11	53	52	82	73
2020-11-12	66	55	78	80
2020-11-13	67	56	67	84
2020-11-14	59	67	64	74
2020-11-15	60	57	68	76
2020-11-16	61	62	62	77
2020-11-17	74	51	70	77
2020-11-18	69	65	78	76
2020-11-19	69	86	83	82
2020-11-20	62	51	68	74
2020-11-21	58	68	58	64
2020-11-22	79	60	82	83
2020-11-23	67	65	54	89
2020-11-24	59	55	66	81
2020-11-25	61	63	74	92
2020-11-26	62	76	87	90
2020-11-27	84	73	86	98
2020-11-28	76	72	72	99
2020-11-29	78	78	91	102
2020-11-30	76	66	77	91
2020-12-01	68	46	78	105
2020-12-02	54	70	85	96
2020-12-03	55	56	65	84
2020-12-04	58	53	69	85
2020-12-05	62	63	70	76
2020-12-06	61	61	57	67
2020-12-07	61	68	65	92
2020-12-08	54	46	69	83
2020-12-09	50	58	91	81
2020-12-10	61	60	76	85
2020-12-11	66	47	66	82
2020-12-12	57	59	66	95
2020-12-13	68	60	60	81
2020-12-14	63	58	66	75
2020-12-15	61	61	60	76
2020-12-16	63	58	91	76
2020-12-17	52	54	69	79
2020-12-18	60	49	73	76
2020-12-19	70	63	80	94
2020-12-20	64	54	62	76
2020-12-21	58	66	67	85
2020-12-22	61	41	64	64
2020-12-23	51	66	66	79
2020-12-24	41	39	35	49
2020-12-25	48	43	57	50
2020-12-26	68	65	58	56
2020-12-27	59	50	64	67
2020-12-28	70	63	81	66
2020-12-29	63	64	70	65
2020-12-30	63	54	69	79
2020-12-31	58	41	59	67
