date	views
2018-10-18	3402850
2018-10-19	2862508
2018-10-20	2772413
2018-10-21	3158844
2018-10-22	3235127
2018-10-23	3496344
2018-10-24	3383328
2018-10-25	3334291
2018-10-26	3147937
2018-10-27	2966654
2018-10-28	3368697
2018-10-29	3035533
2018-10-30	3175912
2018-10-31	3158635
2018-11-01	3119570
2018-11-02	3074865
2018-11-03	3119353
2018-11-04	3485274
2018-11-05	3459704
2018-11-06	3578889
2018-11-07	3669078
2018-11-08	3714209
2018-11-09	3395132
2018-11-10	3283554
2018-11-11	3414638
2018-11-12	3444730
2018-11-13	3679957
2018-11-14	4511847
2018-11-15	3991337
2018-11-16	3377178
2018-11-17	2996557
2018-11-18	3250469
2018-11-19	3207488
2018-11-20	3250928
2018-11-21	3239558
2018-11-22	3295944
2018-11-23	2960932
2018-11-24	2888022
2018-11-25	3316186
2018-11-26	3392322
2018-11-27	3332391
2018-11-28	3328175
2018-11-29	3392125
2018-11-30	2978292
2018-12-01	2914672
2018-12-02	3252031
2018-12-03	3398663
2018-12-04	3201416
2018-12-05	3145485
2018-12-06	3301492
2018-12-07	3186114
2018-12-08	3214474
2018-12-09	3423785
2018-12-10	3254458
2018-12-11	3286070
2018-12-12	3393673
2018-12-13	3300768
2018-12-14	2956160
2018-12-15	3041216
2018-12-16	3331467
2018-12-17	3340866
2018-12-18	3343804
2018-12-19	3141127
2018-12-20	2907795
2018-12-21	2639526
2018-12-22	2736456
2018-12-23	2712882
2018-12-24	2695799
2018-12-25	3320855
2018-12-26	3247123
2018-12-27	3055383
2018-12-28	3023333
2018-12-29	3180814
2018-12-30	3410756
2018-12-31	3033088
