date	views_2019	views_2020
2020-08-01	2581489	2563349
2020-08-02	2439824	2705258
2020-08-03	2464340	2872271
2020-08-04	2529766	2776161
2020-08-05	2600905	2762079
2020-08-06	2726537	2530904
2020-08-07	2453286	2487314
2020-08-08	2437172	2377973
2020-08-09	2430847	2628450
2020-08-10	2575827	2669510
2020-08-11	2647278	2640898
2020-08-12	2700790	2626224
2020-08-13	2485824	2465775
2020-08-14	2397321	2654223
2020-08-15	2418193	2698542
2020-08-16	2368474	2638914
2020-08-17	2399839	2708244
2020-08-18	2589781	2775391
2020-08-19	2576580	2653219
2020-08-20	2601696	2549678
2020-08-21	2596952	2357647
2020-08-22	2536399	2479811
2020-08-23	2548007	2766280
2020-08-24	2595270	2563086
2020-08-25	2739359	2651955
2020-08-26	2586001	2641508
2020-08-27	2492629	2511245
2020-08-28	2542096	2634424
2020-08-29	2499193	2765759
2020-08-30	2535523	2941504
2020-08-31	2353849	2708292
2020-09-01	2687283	2838053
2020-09-02	2638639	2523239
2020-09-03	2450172	2584302
2020-09-04	2399803	2625997
2020-09-05	2470105	2505176
2020-09-06	2322109	2889934
2020-09-07	2684416	2942285
2020-09-08	2716646	2796058
2020-09-09	2709847	2888614
2020-09-10	2575670	2745311
2020-09-11	2666305	2613562
2020-09-12	2699581	2719395
2020-09-13	2562501	2949667
2020-09-14	2348899	3006555
2020-09-15	2642846	3020197
2020-09-16	2724045	2939378
2020-09-17	2882807	2819205
2020-09-18	2678046	2630357
2020-09-19	2707676	2533596
2020-09-20	2477891	2841560
2020-09-21	2505520	2979237
2020-09-22	2846967	2715591
2020-09-23	3011363	2843337
2020-09-24	3041159	3043044
2020-09-25	2908091	2733794
2020-09-26	2835702	2973588
2020-09-27	2603544	3640583
2020-09-28	2892392	3547162
2020-09-29	2935734	3346136
2020-09-30	3043929	3072297
2020-10-01	2904645	2876640
2020-10-02	3349536	2816517
2020-10-03	3013141	2896715
2020-10-04	2754891	3181460
2020-10-05	2854619	3718244
2020-10-06	2987056	3379689
2020-10-07	2994163	3477484
2020-10-08	3047323	3345211
2020-10-09	3166279	3029618
2020-10-10	3030097	3047268
2020-10-11	3039028	3322831
