date	new_pages
2019-12-22	159
2019-12-23	140
2019-12-24	77
2019-12-25	110
2019-12-26	126
2019-12-27	147
2019-12-28	149
2019-12-29	222
2019-12-30	135
2019-12-31	142
