date	new_pages_2019	new_pages_2020
2020-10-18	113	119
2020-10-19	101	125
2020-10-20	92	126
2020-10-21	125	107
2020-10-22	122	116
2020-10-23	126	111
2020-10-24	134	88
2020-10-25	118	112
2020-10-26	86	143
2020-10-27	59	179
2020-10-28	128	250
2020-10-29	117	105
2020-10-30	103	107
2020-10-31	132	100
2020-11-01	118	177
2020-11-02	133	179
2020-11-03	138	160
2020-11-04	130	123
2020-11-05	179	128
2020-11-06	133	119
2020-11-07	138	88
2020-11-08	125	118
2020-11-09	101	167
2020-11-10	102	161
2020-11-11	152	180
2020-11-12	167	149
2020-11-13	158	176
2020-11-14	115	128
2020-11-15	113	119
2020-11-16	108	154
2020-11-17	138	130
2020-11-18	154	136
2020-11-19	139	141
2020-11-20	107	122
2020-11-21	125	133
2020-11-22	170	140
2020-11-23	105	173
2020-11-24	125	154
2020-11-25	150	155
2020-11-26	155	180
2020-11-27	151	207
2020-11-28	166	166
2020-11-29	193	189
2020-11-30	158	170
2020-12-01	153	176
2020-12-02	181	190
2020-12-03	160	159
2020-12-04	150	148
2020-12-05	130	136
2020-12-06	153	142
2020-12-07	119	194
2020-12-08	117	157
2020-12-09	143	177
2020-12-10	154	168
2020-12-11	157	144
2020-12-12	130	168
2020-12-13	127	165
2020-12-14	103	148
2020-12-15	126	130
2020-12-16	199	149
2020-12-17	133	140
2020-12-18	133	136
2020-12-19	132	255
2020-12-20	138	175
2020-12-21	159	148
2020-12-22	159	134
2020-12-23	140	161
2020-12-24	77	124
2020-12-25	110	129
2020-12-26	126	101
2020-12-27	147	114
2020-12-28	149	153
2020-12-29	222	126
2020-12-30	135	151
2020-12-31	142	138
