date	unique_page_creators
2019-01-02	64
2019-01-03	69
2019-01-04	65
2019-01-05	62
2019-01-06	59
2019-01-07	57
2019-01-08	65
2019-01-09	64
2019-01-10	56
2019-01-11	60
2019-01-12	66
2019-01-13	56
2019-01-14	61
2019-01-15	69
2019-01-16	70
2019-01-17	69
2019-01-18	62
2019-01-19	59
2019-01-20	51
2019-01-21	67
2019-01-22	67
2019-01-23	73
2019-01-24	69
2019-01-25	69
2019-01-26	45
2019-01-27	61
2019-01-28	70
2019-01-29	75
2019-01-30	68
2019-01-31	69
2019-02-01	61
2019-02-02	71
2019-02-03	58
2019-02-04	53
2019-02-05	75
2019-02-06	75
2019-02-07	78
2019-02-08	79
2019-02-09	58
2019-02-10	68
2019-02-11	87
2019-02-12	84
2019-02-13	84
2019-02-14	72
2019-02-15	57
2019-02-16	73
2019-02-17	80
2019-02-18	73
2019-02-19	76
2019-02-20	87
2019-02-21	78
2019-02-22	56
2019-02-23	70
2019-02-24	69
2019-02-25	74
2019-02-26	101
2019-02-27	77
2019-02-28	73
2019-03-01	64
2019-03-02	57
2019-03-03	57
2019-03-04	71
2019-03-05	68
2019-03-06	68
2019-03-07	65
2019-03-08	86
2019-03-09	73
2019-03-10	83
2019-03-11	82
2019-03-12	81
2019-03-13	92
2019-03-14	67
2019-03-15	80
2019-03-16	62
2019-03-17	71
2019-03-18	69
2019-03-19	68
2019-03-20	80
2019-03-21	5
2019-03-22	73
2019-03-23	53
2019-03-24	66
2019-03-25	69
2019-03-26	68
2019-03-27	64
2019-03-28	51
2019-03-29	62
2019-03-30	60
2019-03-31	66
2019-04-01	75
2019-04-02	53
2019-04-03	61
2019-04-04	47
2019-04-05	57
2019-04-06	45
2019-04-07	53
2019-04-08	67
2019-04-09	59
2019-04-10	65
2019-04-11	74
2019-04-12	67
2019-04-13	51
2019-04-14	66
2019-04-15	69
2019-04-16	62
2019-04-17	57
2019-04-18	56
2019-04-19	50
2019-04-20	51
2019-04-21	51
2019-04-22	43
2019-04-23	64
2019-04-24	64
2019-04-25	59
2019-04-26	64
2019-04-27	56
2019-04-28	49
2019-04-29	73
2019-04-30	66
2019-05-01	56
2019-05-02	71
2019-05-03	63
2019-05-04	71
2019-05-05	52
2019-05-06	54
2019-05-07	63
2019-05-08	65
2019-05-09	69
2019-05-10	62
2019-05-11	54
2019-05-12	69
2019-05-13	63
2019-05-14	71
2019-05-15	63
2019-05-16	56
2019-05-17	50
2019-05-18	46
2019-05-19	44
2019-05-20	53
2019-05-21	51
2019-05-22	65
2019-05-23	53
2019-05-24	42
2019-05-25	48
2019-05-26	59
2019-05-27	66
2019-05-28	65
2019-05-29	54
2019-05-30	73
2019-05-31	53
2019-06-01	57
2019-06-02	49
2019-06-03	51
2019-06-04	52
2019-06-05	43
2019-06-06	56
2019-06-07	52
2019-06-08	58
2019-06-09	52
2019-06-10	51
2019-06-11	50
2019-06-12	40
2019-06-13	46
2019-06-14	49
2019-06-15	37
2019-06-16	44
2019-06-17	65
2019-06-18	47
2019-06-19	57
2019-06-20	50
2019-06-21	57
2019-06-22	45
2019-06-23	52
2019-06-24	56
2019-06-25	45
2019-06-26	56
2019-06-27	50
2019-06-28	47
2019-06-29	45
2019-06-30	49
2019-07-01	56
2019-07-02	53
2019-07-03	52
2019-07-04	52
2019-07-05	54
2019-07-06	44
2019-07-07	46
2019-07-08	46
2019-07-09	45
2019-07-10	54
2019-07-11	47
2019-07-12	50
2019-07-13	52
2019-07-14	37
2019-07-15	48
2019-07-16	55
2019-07-17	56
2019-07-18	42
2019-07-19	38
2019-07-20	60
2019-07-21	47
2019-07-22	64
2019-07-23	52
2019-07-24	56
2019-07-25	58
2019-07-26	49
2019-07-27	48
2019-07-28	62
2019-07-29	64
2019-07-30	51
2019-07-31	60
2019-08-01	56
2019-08-02	57
2019-08-03	56
2019-08-04	63
2019-08-05	56
2019-08-06	53
2019-08-07	42
2019-08-08	55
2019-08-09	51
2019-08-10	47
2019-08-11	50
2019-08-12	60
2019-08-13	56
2019-08-14	52
2019-08-15	52
2019-08-16	52
2019-08-17	50
2019-08-18	46
2019-08-19	60
