date	new_pages_2019	new_pages_2020
2020-10-18	76	99
2020-10-19	80	99
2020-10-20	70	101
2020-10-21	90	83
2020-10-22	90	79
2020-10-23	90	82
2020-10-24	96	72
2020-10-25	88	91
2020-10-26	72	115
2020-10-27	45	152
2020-10-28	106	217
2020-10-29	94	88
2020-10-30	72	91
2020-10-31	98	83
2020-11-01	93	146
2020-11-02	110	134
2020-11-03	108	117
2020-11-04	89	88
2020-11-05	135	79
2020-11-06	86	97
2020-11-07	93	71
2020-11-08	92	101
2020-11-09	77	124
2020-11-10	73	108
2020-11-11	107	129
2020-11-12	111	115
2020-11-13	118	136
2020-11-14	77	103
2020-11-15	85	89
2020-11-16	84	117
2020-11-17	113	112
2020-11-18	112	86
2020-11-19	116	98
2020-11-20	67	96
2020-11-21	85	109
2020-11-22	127	108
2020-11-23	91	130
2020-11-24	95	114
2020-11-25	95	105
2020-11-26	121	134
2020-11-27	107	164
2020-11-28	133	147
2020-11-29	163	161
2020-11-30	148	136
2020-12-01	122	129
2020-12-02	129	127
2020-12-03	109	120
2020-12-04	113	127
2020-12-05	83	116
2020-12-06	120	107
2020-12-07	94	154
2020-12-08	89	113
2020-12-09	90	142
2020-12-10	115	131
2020-12-11	123	114
2020-12-12	89	157
2020-12-13	94	132
2020-12-14	89	127
2020-12-15	103	108
2020-12-16	154	132
2020-12-17	103	117
2020-12-18	101	122
2020-12-19	100	241
2020-12-20	117	165
2020-12-21	141	134
2020-12-22	135	124
2020-12-23	125	154
2020-12-24	69	115
2020-12-25	96	120
2020-12-26	110	90
2020-12-27	128	110
2020-12-28	133	146
2020-12-29	196	118
2020-12-30	107	141
2020-12-31	126	131
