date	views
2019-01-01	2437416
2019-01-02	2584507
2019-01-03	2483793
2019-01-04	2339206
2019-01-05	2686137
2019-01-06	3129852
2019-01-07	2746603
2019-01-08	2745850
2019-01-09	2698833
2019-01-10	2637302
2019-01-11	2338126
2019-01-12	2497823
2019-01-13	2942705
2019-01-14	2802630
2019-01-15	2790359
2019-01-16	2786637
2019-01-17	2676305
2019-01-18	2338977
2019-01-19	2237704
2019-01-20	2737896
2019-01-21	2690318
2019-01-22	2697225
2019-01-23	2592389
2019-01-24	2486961
2019-01-25	2268500
2019-01-26	2405012
2019-01-27	2727663
2019-01-28	2585053
2019-01-29	2513521
2019-01-30	2334632
2019-01-31	2081223
2019-02-01	2071447
2019-02-02	2287032
2019-02-03	2489391
2019-02-04	2387816
2019-02-05	2392091
2019-02-06	2383858
2019-02-07	2351808
2019-02-08	2202670
2019-02-09	2187928
2019-02-10	2520052
2019-02-11	2367850
2019-02-12	2405683
2019-02-13	2334795
2019-02-14	2241173
2019-02-15	2053081
2019-02-16	1975788
2019-02-17	2301751
2019-02-18	2321106
2019-02-19	2352817
2019-02-20	2493600
2019-02-21	2360300
2019-02-22	2164113
2019-02-23	2050670
2019-02-24	2429508
2019-02-25	2475396
2019-02-26	2555243
2019-02-27	2510314
2019-02-28	2519157
2019-03-01	2473754
2019-03-02	2502264
2019-03-03	2535695
2019-03-04	2418237
2019-03-05	2482743
2019-03-06	2397380
2019-03-07	2239103
2019-03-08	2093389
2019-03-09	2180862
2019-03-10	2787225
2019-03-11	2371812
2019-03-12	2459256
2019-03-13	2462469
2019-03-14	2484413
2019-03-15	2163500
2019-03-16	2195511
2019-03-17	2403541
2019-03-18	2576425
2019-03-19	2599256
2019-03-20	2439997
2019-03-21	2296738
2019-03-22	1943993
2019-03-23	1926764
2019-03-24	2514954
2019-03-25	2562412
2019-03-26	2664526
2019-03-27	2566638
2019-03-28	2519250
2019-03-29	2113374
2019-03-30	1931171
2019-03-31	2268158
2019-04-01	2497213
2019-04-02	2475744
2019-04-03	2385964
2019-04-04	2274503
2019-04-05	2045422
2019-04-06	2101553
2019-04-07	2352289
2019-04-08	2428156
2019-04-09	2367221
2019-04-10	2287685
2019-04-11	2321167
2019-04-12	2141518
2019-04-13	2209241
2019-04-14	2429226
2019-04-15	2371221
2019-04-16	2302192
2019-04-17	2044256
2019-04-18	1802262
2019-04-19	1839255
2019-04-20	1820662
2019-04-21	2064248
2019-04-22	2290497
2019-04-23	2653107
2019-04-24	2391125
2019-04-25	2202079
2019-04-26	2036922
2019-04-27	2131045
2019-04-28	2542696
2019-04-29	2559800
2019-04-30	2154461
2019-05-01	2404554
2019-05-02	2362926
2019-05-03	2265434
2019-05-04	2372028
2019-05-05	2721322
2019-05-06	2629324
2019-05-07	2420366
2019-05-08	2647917
2019-05-09	2636690
2019-05-10	2456876
2019-05-11	2460236
2019-05-12	2821895
2019-05-13	2707144
2019-05-14	2792412
2019-05-15	2754967
2019-05-16	2722516
2019-05-17	2381760
2019-05-18	2121675
2019-05-19	2563601
2019-05-20	2851315
2019-05-21	3616284
2019-05-22	3420284
2019-05-23	2667095
2019-05-24	2169808
2019-05-25	2081411
2019-05-26	2631101
2019-05-27	2728204
2019-05-28	2882797
2019-05-29	2701458
2019-05-30	2403842
2019-05-31	2008807
2019-06-01	1840942
2019-06-02	2202105
2019-06-03	2363367
2019-06-04	2377606
2019-06-05	2392695
2019-06-06	2395678
2019-06-07	2134622
2019-06-08	1951405
2019-06-09	2337918
2019-06-10	2513038
2019-06-11	2387488
2019-06-12	2281366
2019-06-13	2222785
2019-06-14	1850278
2019-06-15	1708051
2019-06-16	2218162
2019-06-17	2216538
2019-06-18	2128109
2019-06-19	2020202
2019-06-20	1940791
2019-06-21	1750381
2019-06-22	1694792
2019-06-23	1834133
2019-06-24	1819050
2019-06-25	1759925
2019-06-26	1658495
2019-06-27	1628694
2019-06-28	1580147
2019-06-29	1507659
2019-06-30	1663856
2019-07-01	1731226
2019-07-02	1700039
2019-07-03	1709804
2019-07-04	2029851
2019-07-05	1736632
2019-07-06	1726020
2019-07-07	1960161
2019-07-08	1857967
2019-07-09	1816823
2019-07-10	1754136
2019-07-11	1748374
2019-07-12	1881985
2019-07-13	1994461
2019-07-14	2065509
2019-07-15	1829213
2019-07-16	1770619
2019-07-17	1718611
2019-07-18	1728510
2019-07-19	1770178
2019-07-20	1680302
2019-07-21	1949871
2019-07-22	1811347
2019-07-23	1761967
2019-07-24	1713606
2019-07-25	1706436
2019-07-26	1654968
2019-07-27	1835048
2019-07-28	1981955
2019-07-29	1903687
2019-07-30	1885665
2019-07-31	1859613
2019-08-01	1836557
2019-08-02	1713769
2019-08-03	1734712
2019-08-04	1834476
2019-08-05	1841544
2019-08-06	1913643
2019-08-07	1820908
2019-08-08	1815080
2019-08-09	1712112
2019-08-10	1795788
2019-08-11	1830709
2019-08-12	1941008
2019-08-13	1834452
2019-08-14	1798913
2019-08-15	1758407
2019-08-16	1770220
2019-08-17	1670369
2019-08-18	1874986
2019-08-19	1879222
2019-08-20	1982195
2019-08-21	1967489
2019-08-22	1812994
2019-08-23	1738682
2019-08-24	1706697
2019-08-25	1950107
2019-08-26	1941348
2019-08-27	1936867
2019-08-28	1840168
2019-08-29	1860332
2019-08-30	1805471
2019-08-31	1704765
2019-09-01	1951804
2019-09-02	1921818
2019-09-03	1841544
2019-09-04	1801693
2019-09-05	1938076
2019-09-06	1619772
2019-09-07	2082191
2019-09-08	2110383
2019-09-09	2131020
2019-09-10	2050844
2019-09-11	2076613
2019-09-12	2036647
2019-09-13	1821892
2019-09-14	1763722
2019-09-15	2019256
2019-09-16	2131513
2019-09-17	2186044
2019-09-18	2111367
2019-09-19	2053598
2019-09-20	1898352
2019-09-21	1805317
2019-09-22	2194650
2019-09-23	2322464
2019-09-24	2326277
2019-09-25	2333109
2019-09-26	2217112
2019-09-27	2010348
2019-09-28	2119568
2019-09-29	2313265
2019-09-30	2387977
2019-10-01	2332613
2019-10-02	2776362
2019-10-03	2436747
2019-10-04	2172506
2019-10-05	2276277
2019-10-06	2435339
2019-10-07	2419734
2019-10-08	2460316
2019-10-09	2467213
2019-10-10	2330946
2019-10-11	2126789
2019-10-12	2089533
2019-10-13	2298710
2019-10-14	2459519
2019-10-15	2331930
2019-10-16	2316566
2019-10-17	2313113
2019-10-18	2065771
2019-10-19	2040469
2019-10-20	2356791
2019-10-21	2507676
2019-10-22	2594467
2019-10-23	2518327
2019-10-24	2419044
2019-10-25	2194395
2019-10-26	2681301
2019-10-27	2291980
2019-10-28	2635413
2019-10-29	2396527
2019-10-30	2446116
2019-10-31	2369812
2019-11-01	2413495
2019-11-02	2361062
2019-11-03	2723133
2019-11-04	2649384
2019-11-05	2644091
2019-11-06	2619722
2019-11-07	2598165
2019-11-08	2305380
2019-11-09	2443426
2019-11-10	2776416
2019-11-11	2683682
2019-11-12	2680647
2019-11-13	2563322
2019-11-14	2501275
2019-11-15	2230893
2019-11-16	2242102
2019-11-17	2795542
2019-11-18	2733553
2019-11-19	2690656
2019-11-20	2598693
2019-11-21	2505256
2019-11-22	2285416
2019-11-23	2356408
2019-11-24	2783371
2019-11-25	2709260
2019-11-26	2626620
2019-11-27	2548770
2019-11-28	2431502
2019-11-29	2143570
2019-11-30	2178153
2019-12-01	2494659
2019-12-02	2506438
2019-12-03	2513664
2019-12-04	2441653
2019-12-05	2304832
2019-12-06	2135577
2019-12-07	2089204
2019-12-08	2462924
2019-12-09	2554939
2019-12-10	2544183
2019-12-11	2428844
2019-12-12	2331370
2019-12-13	2104166
2019-12-14	2103892
2019-12-15	2458149
2019-12-16	2413095
2019-12-17	2331938
2019-12-18	2221177
2019-12-19	1961446
2019-12-20	1594242
2019-12-21	1682283
2019-12-22	1835040
2019-12-23	1704946
2019-12-24	1649265
2019-12-25	2221220
2019-12-26	2273570
2019-12-27	2126758
2019-12-28	2454122
2019-12-29	2675648
2019-12-30	2255930
2019-12-31	2263332
