date	new_pages
2017-01-02	76
2017-01-03	74
2017-01-04	87
2017-01-05	79
2017-01-06	71
2017-01-07	89
2017-01-08	67
2017-01-09	62
2017-01-10	58
2017-01-11	70
2017-01-12	63
2017-01-13	82
2017-01-14	85
2017-01-15	90
2017-01-16	59
2017-01-17	52
2017-01-18	80
2017-01-19	49
2017-01-20	81
2017-01-21	86
2017-01-22	84
2017-01-23	71
2017-01-24	71
2017-01-25	86
2017-01-26	108
2017-01-27	60
2017-01-28	122
2017-01-29	112
2017-01-30	68
2017-01-31	73
2017-02-01	65
2017-02-02	92
2017-02-03	72
2017-02-04	86
2017-02-05	77
2017-02-06	77
2017-02-07	76
2017-02-08	87
2017-02-09	61
2017-02-10	86
2017-02-11	96
2017-02-12	170
2017-02-13	109
2017-02-14	71
2017-02-15	92
2017-02-16	96
2017-02-17	80
2017-02-18	109
2017-02-19	135
2017-02-20	100
2017-02-21	65
2017-02-22	89
2017-02-23	116
2017-02-24	58
2017-02-25	97
2017-02-26	81
2017-02-27	54
2017-02-28	75
2017-03-01	71
2017-03-02	80
2017-03-03	60
2017-03-04	102
2017-03-05	85
2017-03-06	75
2017-03-07	82
2017-03-08	76
2017-03-09	75
2017-03-10	86
2017-03-11	65
2017-03-12	80
2017-03-13	50
2017-03-14	74
2017-03-15	93
2017-03-16	59
2017-03-17	79
2017-03-18	61
2017-03-19	87
2017-03-20	59
2017-03-21	46
2017-03-22	75
2017-03-23	70
2017-03-24	67
2017-03-25	74
2017-03-26	70
2017-03-27	65
2017-03-28	39
2017-03-29	65
2017-03-30	77
2017-03-31	54
2017-04-01	67
2017-04-02	67
2017-04-03	54
2017-04-04	81
2017-04-05	48
2017-04-06	55
2017-04-07	60
2017-04-08	89
2017-04-09	53
2017-04-10	57
2017-04-11	59
2017-04-12	51
2017-04-13	63
2017-04-14	94
2017-04-15	58
2017-04-16	86
2017-04-17	60
2017-04-18	59
2017-04-19	44
2017-04-20	61
2017-04-21	64
2017-04-22	80
2017-04-23	99
2017-04-24	51
2017-04-25	67
2017-04-26	79
2017-04-27	49
2017-04-28	65
2017-04-29	64
2017-04-30	99
2017-05-01	107
2017-05-02	84
2017-05-03	64
2017-05-04	64
2017-05-05	65
2017-05-06	89
2017-05-07	89
2017-05-08	117
2017-05-09	97
2017-05-10	96
2017-05-11	90
2017-05-12	89
2017-05-13	111
2017-05-14	117
2017-05-15	84
2017-05-16	102
2017-05-17	100
2017-05-18	76
2017-05-19	80
2017-05-20	94
2017-05-21	102
2017-05-22	85
2017-05-23	90
2017-05-24	80
2017-05-25	93
2017-05-26	91
2017-05-27	63
2017-05-28	80
2017-05-29	68
2017-05-30	69
2017-05-31	62
2017-06-01	61
2017-06-02	69
2017-06-03	75
2017-06-04	92
2017-06-05	94
2017-06-06	90
2017-06-07	83
2017-06-08	93
2017-06-09	80
2017-06-10	118
2017-06-11	60
2017-06-12	66
2017-06-13	60
2017-06-14	70
2017-06-15	62
2017-06-16	63
2017-06-17	92
2017-06-18	74
2017-06-19	82
2017-06-20	69
2017-06-21	82
2017-06-22	60
2017-06-23	63
2017-06-24	47
2017-06-25	75
2017-06-26	62
2017-06-27	68
2017-06-28	70
2017-06-29	69
2017-06-30	72
2017-07-01	65
2017-07-02	53
2017-07-03	60
2017-07-04	56
2017-07-05	47
2017-07-06	83
2017-07-07	52
2017-07-08	48
2017-07-09	95
2017-07-10	85
2017-07-11	84
2017-07-12	108
2017-07-13	44
2017-07-14	73
2017-07-15	80
2017-07-16	77
2017-07-17	96
2017-07-18	57
2017-07-19	74
2017-07-20	48
2017-07-21	60
2017-07-22	55
2017-07-23	68
2017-07-24	67
2017-07-25	90
2017-07-26	88
2017-07-27	91
2017-07-28	107
2017-07-29	63
2017-07-30	71
2017-07-31	68
2017-08-01	88
2017-08-02	79
2017-08-03	67
2017-08-04	65
2017-08-05	42
2017-08-06	75
2017-08-07	71
2017-08-08	47
2017-08-09	58
2017-08-10	76
2017-08-11	86
2017-08-12	76
2017-08-13	71
2017-08-14	76
2017-08-15	79
2017-08-16	58
2017-08-17	48
2017-08-18	69
2017-08-19	64
2017-08-20	74
2017-08-21	106
2017-08-22	87
2017-08-23	57
2017-08-24	65
2017-08-25	69
2017-08-26	69
2017-08-27	62
2017-08-28	74
2017-08-29	74
2017-08-30	55
2017-08-31	39
2017-09-01	53
2017-09-02	74
2017-09-03	70
2017-09-04	49
2017-09-05	43
2017-09-06	63
2017-09-07	48
2017-09-08	54
2017-09-09	88
2017-09-10	71
2017-09-11	61
2017-09-12	41
2017-09-13	39
2017-09-14	41
2017-09-15	52
2017-09-16	53
2017-09-17	49
2017-09-18	53
2017-09-19	49
2017-09-20	62
2017-09-21	60
2017-09-22	38
2017-09-23	85
2017-09-24	67
2017-09-25	48
2017-09-26	73
2017-09-27	76
2017-09-28	66
2017-09-29	67
2017-09-30	81
2017-10-01	51
2017-10-02	65
2017-10-03	75
2017-10-04	69
2017-10-05	67
2017-10-06	67
2017-10-07	51
2017-10-08	48
2017-10-09	58
2017-10-10	67
2017-10-11	72
2017-10-12	73
2017-10-13	47
2017-10-14	47
2017-10-15	71
2017-10-16	48
2017-10-17	58
2017-10-18	61
2017-10-19	64
2017-10-20	60
2017-10-21	56
2017-10-22	83
2017-10-23	60
2017-10-24	45
2017-10-25	52
2017-10-26	65
2017-10-27	77
2017-10-28	61
2017-10-29	84
2017-10-30	46
2017-10-31	47
2017-11-01	61
2017-11-02	49
2017-11-03	48
2017-11-04	58
2017-11-05	50
2017-11-06	48
2017-11-07	55
2017-11-08	60
2017-11-09	60
2017-11-10	62
2017-11-11	80
2017-11-12	57
2017-11-13	60
2017-11-14	46
2017-11-15	60
2017-11-16	66
2017-11-17	76
2017-11-18	91
2017-11-19	73
2017-11-20	69
2017-11-21	54
2017-11-22	62
2017-11-23	80
2017-11-24	64
2017-11-25	104
2017-11-26	77
2017-11-27	92
2017-11-28	83
2017-11-29	106
2017-11-30	73
2017-12-01	66
2017-12-02	73
2017-12-03	98
2017-12-04	77
2017-12-05	65
2017-12-06	58
2017-12-07	85
2017-12-08	57
2017-12-09	85
2017-12-10	83
2017-12-11	96
2017-12-12	82
2017-12-13	72
2017-12-14	53
