date	experienced	newcomer
2019-01-02	1928	47
2019-01-03	1843	64
2019-01-04	1691	35
2019-01-05	1873	57
2019-01-06	1527	61
2019-01-07	1391	73
2019-01-08	1783	44
2019-01-09	1731	62
2019-01-10	1639	71
2019-01-11	1472	48
2019-01-12	1870	41
2019-01-13	1892	69
2019-01-14	1751	49
2019-01-15	2306	70
2019-01-16	1954	83
2019-01-17	1947	57
2019-01-18	1624	104
2019-01-19	1580	49
2019-01-20	1648	58
2019-01-21	1811	65
2019-01-22	2302	59
2019-01-23	1802	91
2019-01-24	1776	44
2019-01-25	1719	48
2019-01-26	1510	42
2019-01-27	1868	44
2019-01-28	2323	65
2019-01-29	1941	75
2019-01-30	1821	92
2019-01-31	1824	85
2019-02-01	1831	58
2019-02-02	1982	70
2019-02-03	1897	53
2019-02-04	1696	67
2019-02-05	1699	74
2019-02-06	1861	64
2019-02-07	2390	79
2019-02-08	1714	98
2019-02-09	1569	61
2019-02-10	1770	53
2019-02-11	1935	110
2019-02-12	2151	109
2019-02-13	2088	72
2019-02-14	1777	79
2019-02-15	1871	85
2019-02-16	1837	93
2019-02-17	1923	83
2019-02-18	1681	94
2019-02-19	1973	78
2019-02-20	1914	102
2019-02-21	1967	66
2019-02-22	1787	89
2019-02-23	1718	66
2019-02-24	1913	59
2019-02-25	1660	58
2019-02-26	2032	83
2019-02-27	2060	59
2019-02-28	1773	75
2019-03-01	1882	69
2019-03-02	1937	46
2019-03-03	1941	69
2019-03-04	1788	84
2019-03-05	1764	75
2019-03-06	1870	86
2019-03-07	1807	83
2019-03-08	1982	171
2019-03-09	2471	83
2019-03-10	2549	110
2019-03-11	2507	92
2019-03-12	2116	167
2019-03-13	1972	252
2019-03-14	1718	111
2019-03-15	1921	72
2019-03-16	1875	112
2019-03-17	1972	83
2019-03-18	2099	86
2019-03-19	2135	94
2019-03-20	1862	173
2019-03-21	115	3
2019-03-22	1772	91
2019-03-23	1666	48
2019-03-24	1816	47
2019-03-25	2209	77
2019-03-26	2019	113
2019-03-27	1899	130
2019-03-28	1992	117
2019-03-29	2207	41
2019-03-30	1504	105
2019-03-31	1576	72
2019-04-01	2142	97
2019-04-02	2100	48
2019-04-03	1908	53
2019-04-04	1973	62
2019-04-05	2012	49
2019-04-06	1676	72
2019-04-07	1551	73
2019-04-08	2286	104
2019-04-09	1946	57
2019-04-10	1804	75
2019-04-11	1857	86
2019-04-12	2157	64
2019-04-13	2218	121
2019-04-14	2562	132
2019-04-15	2353	125
2019-04-16	1914	91
2019-04-17	2029	74
2019-04-18	1580	78
2019-04-19	1726	96
2019-04-20	1646	29
2019-04-21	1579	64
2019-04-22	1648	71
2019-04-23	2106	62
2019-04-24	2404	122
2019-04-25	1840	98
2019-04-26	2112	42
2019-04-27	1935	70
2019-04-28	1921	73
2019-04-29	2275	63
2019-04-30	2052	49
2019-05-01	2616	63
2019-05-02	2491	52
2019-05-03	1947	114
2019-05-04	1843	53
2019-05-05	2032	56
2019-05-06	1824	58
2019-05-07	2260	98
2019-05-08	1932	75
2019-05-09	2222	101
2019-05-10	2322	91
2019-05-11	1793	80
2019-05-12	2050	94
2019-05-13	1871	109
2019-05-14	2387	121
2019-05-15	1963	56
2019-05-16	2056	69
2019-05-17	1676	69
2019-05-18	1391	76
2019-05-19	1626	73
2019-05-20	2200	63
