date	views
2020-01-01	2725376
2020-01-02	2587558
2020-01-03	2501301
2020-01-04	2783929
2020-01-05	3111024
2020-01-06	2905572
2020-01-07	3060174
2020-01-08	3166382
2020-01-09	2940480
2020-01-10	2595152
2020-01-11	2711772
2020-01-12	3235964
2020-01-13	3029569
2020-01-14	2993789
2020-01-15	2974455
2020-01-16	2898824
2020-01-17	2571680
2020-01-18	2600264
2020-01-19	3016778
2020-01-20	3008642
2020-01-21	3256353
2020-01-22	2801461
2020-01-23	2744589
2020-01-24	2534189
2020-01-25	2586830
2020-01-26	2685688
2020-01-27	2774917
2020-01-28	2644641
2020-01-29	2447108
2020-01-30	2244549
2020-01-31	2152095
2020-02-01	2194564
2020-02-02	2570805
2020-02-03	2542927
2020-02-04	2526230
2020-02-05	2473615
2020-02-06	2392957
2020-02-07	2163545
2020-02-08	2105265
2020-02-09	2419576
2020-02-10	2459206
2020-02-11	2388941
2020-02-12	2413381
2020-02-13	2371095
2020-02-14	2414981
2020-02-15	2642801
2020-02-16	2528475
2020-02-17	2440815
2020-02-18	2494037
2020-02-19	2532454
2020-02-20	2459159
2020-02-21	2270753
2020-02-22	2155197
2020-02-23	2624187
2020-02-24	2586373
2020-02-25	2667699
2020-02-26	2696029
2020-02-27	3050814
2020-02-28	2326051
2020-02-29	2356857
2020-03-01	2638459
2020-03-02	2530446
2020-03-03	2639459
2020-03-04	2526570
2020-03-05	2484677
2020-03-06	2366405
2020-03-07	2434369
2020-03-08	2548311
2020-03-09	2587290
2020-03-10	2253203
2020-03-11	2520771
2020-03-12	2668109
2020-03-13	2698034
2020-03-14	2554473
2020-03-15	2653822
2020-03-16	3000538
2020-03-17	3280680
2020-03-18	3247376
2020-03-19	3385107
2020-03-20	3387406
2020-03-21	3456553
2020-03-22	3585673
2020-03-23	3760442
2020-03-24	3815928
2020-03-25	3829818
2020-03-26	3891762
2020-03-27	3576278
2020-03-28	3064546
2020-03-29	3550824
2020-03-30	3976359
2020-03-31	4169244
2020-04-01	3847010
2020-04-02	3676766
2020-04-03	3751064
2020-04-04	3070543
2020-04-05	3193868
2020-04-06	3585517
2020-04-07	3904887
2020-04-08	3315940
2020-04-09	2857273
2020-04-10	2935516
2020-04-11	2651226
2020-04-12	2815106
2020-04-13	3450205
2020-04-14	3810103
2020-04-15	3620953
2020-04-16	3373674
2020-04-17	3293926
2020-04-18	2743156
2020-04-19	3434628
2020-04-20	3632131
2020-04-21	3578932
2020-04-22	3249880
2020-04-23	3133608
2020-04-24	3076878
2020-04-25	2811099
2020-04-26	3125020
2020-04-27	3335593
2020-04-28	3271668
2020-04-29	3519137
2020-04-30	3066891
2020-05-01	2744753
2020-05-02	2725855
2020-05-03	3232979
2020-05-04	3266427
2020-05-05	3358875
2020-05-06	3248053
2020-05-07	2928559
2020-05-08	2544226
2020-05-09	2517294
2020-05-10	3075269
2020-05-11	3334817
2020-05-12	3247239
2020-05-13	3191191
2020-05-14	3159277
2020-05-15	3073882
2020-05-16	2354616
2020-05-17	2781992
2020-05-18	2981048
2020-05-19	2971921
2020-05-20	3045577
2020-05-21	2934314
2020-05-22	2786215
2020-05-23	3010162
2020-05-24	3135397
2020-05-25	3244887
2020-05-26	3092970
2020-05-27	2973269
2020-05-28	3066126
2020-05-29	2734231
2020-05-30	2419368
2020-05-31	3193940
2020-06-01	2831462
2020-06-02	2917501
2020-06-03	2768961
2020-06-04	2877731
2020-06-05	3006254
2020-06-06	2404554
2020-06-07	2847416
2020-06-08	3104314
2020-06-09	3051485
2020-06-10	3155779
2020-06-11	2761583
2020-06-12	2449595
2020-06-13	2070763
2020-06-14	2805588
2020-06-15	2725840
2020-06-16	2569561
2020-06-17	2438244
2020-06-18	2456664
2020-06-19	2287069
2020-06-20	2231342
2020-06-21	2330843
2020-06-22	2086126
2020-06-23	1882020
2020-06-24	1964625
2020-06-25	1757591
2020-06-26	1784907
2020-06-27	1625148
2020-06-28	1853280
2020-06-29	1972280
2020-06-30	1783431
2020-07-01	1656387
2020-07-02	1787495
2020-07-03	1736357
